id,state,district,block,village,business_category,prior_experience,own_capital_inr,village_population,households,target_population,nearby_population,competitors_1km,competitors_5km,competitors_10km,market_within_5km,weekly_market_present,market_distance_km,road_available,electricity_available,basic_infrastructure_available,local_competition_index,local_demand_index,historical_business_outcome,feasibility_label
14,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Agri-input & Farm Supply,1,195000,4418,897,1877,15571,1,7,21,1,0,1.1,1,1,1,21.7,61.2,,1
15,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Food Processing,1,145000,4418,897,2155,15571,1,12,27,1,0,1.1,1,1,0,32.0,61.0,,1
16,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Retail / Kirana,0,130000,4418,897,3414,15571,5,16,22,1,0,1.1,1,1,1,49.0,88.9,,1
17,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Tailoring & Garment Services,1,65000,4418,897,1004,15571,8,11,22,1,0,1.1,1,1,1,49.7,38.3,,0
18,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Repair & Maintenance,1,85000,4418,897,1440,15571,4,9,23,1,0,1.1,1,1,1,34.7,45.8,,1
19,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Digital / CSC / Online Services,0,80000,4418,897,1058,15571,5,14,22,1,0,1.1,1,1,1,45.7,35.9,,0
20,Jharkhand,Dhanbad,Baliapur,Gopinathdih,Handicrafts / Artisan Products,1,40000,4418,897,1034,15571,0,6,20,1,0,1.1,1,1,1,16.7,26.7,,0
21,Jharkhand,Dhanbad,Govindpur,Behichiya,Dairy & Livestock,0,105000,4173,997,2337,3512,2,14,37,1,1,6.8,1,0,0,41.7,63.7,,0
22,Jharkhand,Dhanbad,Govindpur,Behichiya,Poultry & Egg Production,0,80000,4173,997,2564,3512,0,9,20,1,1,6.8,1,0,0,21.7,63.4,,0
23,Jharkhand,Dhanbad,Govindpur,Behichiya,Fisheries / Aquaculture,0,155000,4173,997,1441,3512,0,15,28,1,1,6.8,1,0,0,34.3,29.5,,0
24,Jharkhand,Dhanbad,Govindpur,Behichiya,Agri-input & Farm Supply,0,185000,4173,997,2120,3512,2,9,21,1,1,6.8,1,0,0,28.0,54.2,,0
25,Jharkhand,Dhanbad,Govindpur,Behichiya,Food Processing,0,120000,4173,997,1350,3512,1,6,30,1,1,6.8,1,0,0,23.0,41.8,,0
26,Jharkhand,Dhanbad,Govindpur,Behichiya,Retail / Kirana,0,130000,4173,997,2873,3512,7,16,33,1,1,6.8,1,0,0,58.7,75.1,,0
27,Jharkhand,Dhanbad,Govindpur,Behichiya,Tailoring & Garment Services,1,45000,4173,997,1157,3512,4,12,24,1,1,6.8,1,0,0,40.0,32.1,,0
28,Jharkhand,Dhanbad,Govindpur,Behichiya,Repair & Maintenance,0,55000,4173,997,1511,3512,2,6,28,1,1,6.8,1,0,0,25.3,38.3,,0
29,Jharkhand,Dhanbad,Govindpur,Behichiya,Digital / CSC / Online Services,1,50000,4173,997,1256,3512,5,14,28,1,1,6.8,1,0,0,47.7,30.5,,0
30,Jharkhand,Dhanbad,Govindpur,Behichiya,Handicrafts / Artisan Products,1,50000,4173,997,459,3512,4,8,24,1,1,6.8,1,0,0,33.3,17.5,,0
31,Jharkhand,Dhanbad,Govindpur,Chickenia,Dairy & Livestock,0,110000,4984,1063,2962,10992,4,12,32,1,1,1.3,1,1,0,42.7,93.2,,1
32,Jharkhand,Dhanbad,Govindpur,Chickenia,Poultry & Egg Production,0,65000,4984,1063,2477,10992,4,19,24,1,1,1.3,1,1,0,51.7,81.8,,1
33,Jharkhand,Dhanbad,Govindpur,Chickenia,Fisheries / Aquaculture,0,230000,4984,1063,1438,10992,1,3,9,1,1,1.3,1,1,0,11.0,41.4,,0
34,Jharkhand,Dhanbad,Govindpur,Chickenia,Agri-input & Farm Supply,0,150000,4984,1063,1652,10992,6,13,35,1,1,1.3,1,1,0,51.3,66.7,,1
35,Jharkhand,Dhanbad,Govindpur,Chickenia,Food Processing,0,125000,4984,1063,2330,10992,3,15,37,1,1,1.3,1,1,0,46.3,70.9,,1
36,Jharkhand,Dhanbad,Govindpur,Chickenia,Retail / Kirana,1,135000,4984,1063,3878,10992,10,21,33,1,1,1.3,1,1,0,76.0,98.7,,1
37,Jharkhand,Dhanbad,Govindpur,Chickenia,Tailoring & Garment Services,0,75000,4984,1063,1228,10992,4,13,29,1,1,1.3,1,1,1,43.3,46.9,,1
38,Jharkhand,Dhanbad,Govindpur,Chickenia,Repair & Maintenance,0,95000,4984,1063,1745,10992,7,14,23,1,1,1.3,1,1,1,52.0,55.9,,1
39,Jharkhand,Dhanbad,Govindpur,Chickenia,Digital / CSC / Online Services,0,50000,4984,1063,1307,10992,6,15,34,1,1,1.3,1,1,1,54.3,44.0,,0
40,Jharkhand,Dhanbad,Govindpur,Chickenia,Handicrafts / Artisan Products,1,50000,4984,1063,749,10992,3,12,33,1,1,1.3,1,1,0,40.0,29.2,,0
41,Jharkhand,Ranchi,Kanke,Kokdoro,Dairy & Livestock,0,160000,4718,972,3302,12708,4,17,36,0,1,8.0,1,1,0,52.3,77.9,,1
42,Jharkhand,Ranchi,Kanke,Kokdoro,Poultry & Egg Production,0,90000,4718,972,2511,12708,4,16,40,0,1,8.0,1,1,0,52.0,67.2,,1
43,Jharkhand,Ranchi,Kanke,Kokdoro,Fisheries / Aquaculture,0,130000,4718,972,1733,12708,3,12,27,0,1,8.0,1,1,0,38.0,34.6,,0
44,Jharkhand,Ranchi,Kanke,Kokdoro,Agri-input & Farm Supply,0,170000,4718,972,1657,12708,4,8,20,0,1,8.0,1,1,0,32.0,52.6,,1
45,Jharkhand,Ranchi,Kanke,Kokdoro,Food Processing,0,155000,4718,972,1994,12708,1,3,20,0,1,8.0,1,1,0,14.7,53.5,,1
46,Jharkhand,Ranchi,Kanke,Kokdoro,Retail / Kirana,0,80000,4718,972,4507,12708,4,7,15,0,1,8.0,1,1,0,28.7,82.0,,1
47,Jharkhand,Ranchi,Kanke,Kokdoro,Tailoring & Garment Services,1,90000,4718,972,1533,12708,1,9,19,0,1,8.0,1,1,1,24.3,39.0,,0
48,Jharkhand,Ranchi,Kanke,Kokdoro,Repair & Maintenance,0,60000,4718,972,1313,12708,5,11,23,0,1,8.0,1,1,1,41.0,39.7,,0
49,Jharkhand,Ranchi,Kanke,Kokdoro,Digital / CSC / Online Services,0,60000,4718,972,1123,12708,5,14,20,0,1,8.0,1,1,1,45.0,32.3,,0
50,Jharkhand,Ranchi,Kanke,Kokdoro,Handicrafts / Artisan Products,1,65000,4718,972,870,12708,0,12,20,0,1,8.0,1,1,0,26.7,22.5,,0
51,Jharkhand,Ranchi,Kanke,Kumharia,Dairy & Livestock,1,140000,5475,1140,3187,9587,9,15,27,1,1,4.0,1,1,1,61.0,90.2,,1
52,Jharkhand,Ranchi,Kanke,Kumharia,Poultry & Egg Production,0,135000,5475,1140,3108,9587,2,16,24,1,1,4.0,1,1,1,40.7,85.5,,1
53,Jharkhand,Ranchi,Kanke,Kumharia,Fisheries / Aquaculture,1,180000,5475,1140,1853,9587,0,14,35,1,1,4.0,1,1,1,35.0,42.8,,0
54,Jharkhand,Ranchi,Kanke,Kumharia,Agri-input & Farm Supply,1,240000,5475,1140,2175,9587,5,15,26,1,1,4.0,1,1,0,48.7,70.2,,1
55,Jharkhand,Ranchi,Kanke,Kumharia,Food Processing,0,90000,5475,1140,2011,9587,6,13,29,1,1,4.0,1,1,0,49.3,64.1,,1
56,Jharkhand,Ranchi,Kanke,Kumharia,Retail / Kirana,1,105000,5475,1140,3952,9587,13,25,34,1,1,4.0,1,1,1,83.0,95.0,,1
57,Jharkhand,Ranchi,Kanke,Kumharia,Tailoring & Garment Services,1,40000,5475,1140,1906,9587,3,5,29,1,1,4.0,1,1,1,27.0,51.1,,1
58,Jharkhand,Ranchi,Kanke,Kumharia,Repair & Maintenance,0,130000,5475,1140,1247,9587,9,21,32,1,1,4.0,1,1,1,72.7,48.1,,1
59,Jharkhand,Ranchi,Kanke,Kumharia,Digital / CSC / Online Services,0,60000,5475,1140,1537,9587,2,8,26,1,1,4.0,1,1,0,28.0,43.8,,0
60,Jharkhand,Ranchi,Kanke,Kumharia,Handicrafts / Artisan Products,0,55000,5475,1140,1114,9587,0,14,23,1,1,4.0,1,1,1,31.0,30.0,,0
61,Jharkhand,Ranchi,Ratu,Katamkuli,Dairy & Livestock,0,70000,2375,510,1365,8895,1,6,30,0,1,4.3,0,1,0,23.0,55.5,,0
62,Jharkhand,Ranchi,Ratu,Katamkuli,Poultry & Egg Production,1,110000,2375,510,1736,8895,0,4,24,0,1,4.3,0,1,0,14.7,57.6,,0
63,Jharkhand,Ranchi,Ratu,Katamkuli,Fisheries / Aquaculture,0,110000,2375,510,605,8895,1,7,27,0,1,4.3,0,1,0,23.7,25.9,,0
64,Jharkhand,Ranchi,Ratu,Katamkuli,Agri-input & Farm Supply,1,170000,2375,510,1036,8895,1,11,24,0,1,4.3,0,1,0,29.3,45.5,,0
65,Jharkhand,Ranchi,Ratu,Katamkuli,Food Processing,0,175000,2375,510,1072,8895,1,7,23,0,1,4.3,0,1,0,22.3,43.2,,0
66,Jharkhand,Ranchi,Ratu,Katamkuli,Retail / Kirana,1,110000,2375,510,1780,8895,5,19,25,0,1,4.3,0,1,0,55.0,64.6,,0
67,Jharkhand,Ranchi,Ratu,Katamkuli,Tailoring & Garment Services,0,65000,2375,510,653,8895,2,5,24,0,1,4.3,0,1,0,22.3,31.0,,0
68,Jharkhand,Ranchi,Ratu,Katamkuli,Repair & Maintenance,0,60000,2375,510,958,8895,5,12,29,0,1,4.3,0,1,0,44.7,36.6,,0
69,Jharkhand,Ranchi,Ratu,Katamkuli,Digital / CSC / Online Services,1,65000,2375,510,699,8895,3,7,15,0,1,4.3,0,1,0,25.7,29.1,,0
70,Jharkhand,Ranchi,Ratu,Katamkuli,Handicrafts / Artisan Products,0,60000,2375,510,769,8895,1,9,26,0,1,4.3,0,1,0,26.7,22.3,,0
71,Jharkhand,Ranchi,Ratu,Katarpa,Dairy & Livestock,1,105000,2601,507,1177,8916,4,19,25,0,1,6.2,1,1,0,52.0,51.1,,0
72,Jharkhand,Ranchi,Ratu,Katarpa,Poultry & Egg Production,1,110000,2601,507,1216,8916,2,14,38,0,1,6.2,1,1,0,42.0,48.9,,0
73,Jharkhand,Ranchi,Ratu,Katarpa,Fisheries / Aquaculture,0,130000,2601,507,910,8916,1,11,32,0,1,6.2,1,1,0,32.0,27.4,,0
74,Jharkhand,Ranchi,Ratu,Katarpa,Agri-input & Farm Supply,1,130000,2601,507,1204,8916,1,15,37,0,1,6.2,1,1,1,40.3,46.0,,1
75,Jharkhand,Ranchi,Ratu,Katarpa,Food Processing,0,135000,2601,507,1438,8916,1,11,17,0,1,6.2,1,1,0,27.0,46.1,,1
76,Jharkhand,Ranchi,Ratu,Katarpa,Retail / Kirana,0,70000,2601,507,1748,8916,4,7,14,0,1,6.2,1,1,1,28.3,62.3,,1
77,Jharkhand,Ranchi,Ratu,Katarpa,Tailoring & Garment Services,1,85000,2601,507,678,8916,3,12,30,0,1,6.2,1,1,1,39.0,30.1,,0
78,Jharkhand,Ranchi,Ratu,Katarpa,Repair & Maintenance,1,100000,2601,507,1151,8916,3,12,28,0,1,6.2,1,1,1,38.3,37.3,,0
79,Jharkhand,Ranchi,Ratu,Katarpa,Digital / CSC / Online Services,0,35000,2601,507,656,8916,1,11,20,0,1,6.2,1,1,0,28.0,27.6,,0
80,Jharkhand,Ranchi,Ratu,Katarpa,Handicrafts / Artisan Products,0,50000,2601,507,353,8916,1,10,27,0,1,6.2,1,1,1,28.7,18.6,,0
81,Bihar,Patna,Paliganj,Ajda Sikariya,Dairy & Livestock,0,110000,5595,1375,2444,6543,3,8,23,1,1,8.5,1,1,0,30.0,70.8,,1
82,Bihar,Patna,Paliganj,Ajda Sikariya,Poultry & Egg Production,1,60000,5595,1375,2447,6543,2,11,31,1,1,8.5,1,1,0,34.7,67.1,,1
83,Bihar,Patna,Paliganj,Ajda Sikariya,Fisheries / Aquaculture,1,110000,5595,1375,1750,6543,0,15,37,1,1,8.5,1,1,0,37.3,35.3,,0
84,Bihar,Patna,Paliganj,Ajda Sikariya,Agri-input & Farm Supply,1,195000,5595,1375,2857,6543,6,12,26,1,1,8.5,1,1,0,46.7,68.6,,1
85,Bihar,Patna,Paliganj,Ajda Sikariya,Food Processing,0,110000,5595,1375,2209,6543,3,18,28,1,1,8.5,1,1,0,48.3,56.8,,0
86,Bihar,Patna,Paliganj,Ajda Sikariya,Retail / Kirana,1,65000,5595,1375,4801,6543,16,31,43,1,1,8.5,1,1,1,94.3,82.9,,1
87,Bihar,Patna,Paliganj,Ajda Sikariya,Tailoring & Garment Services,1,55000,5595,1375,1446,6543,3,9,30,1,1,8.5,1,1,1,34.0,38.7,,0
88,Bihar,Patna,Paliganj,Ajda Sikariya,Repair & Maintenance,1,70000,5595,1375,1838,6543,3,13,30,1,1,8.5,1,1,1,40.7,45.8,,1
89,Bihar,Patna,Paliganj,Ajda Sikariya,Digital / CSC / Online Services,1,65000,5595,1375,1530,6543,3,15,23,1,1,8.5,1,1,0,41.7,36.5,,0
90,Bihar,Patna,Paliganj,Ajda Sikariya,Handicrafts / Artisan Products,1,40000,5595,1375,1033,6543,0,11,17,1,1,8.5,1,1,1,24.0,24.0,,0
91,Bihar,Patna,Paliganj,Akbarpur Ranipur,Dairy & Livestock,1,85000,6298,1380,2700,5378,5,12,28,1,1,4.7,1,1,1,44.3,75.3,,1
92,Bihar,Patna,Paliganj,Akbarpur Ranipur,Poultry & Egg Production,0,100000,6298,1380,3185,5378,2,8,30,1,1,4.7,1,1,1,29.3,75.4,,1
93,Bihar,Patna,Paliganj,Akbarpur Ranipur,Fisheries / Aquaculture,1,120000,6298,1380,1631,5378,2,16,38,1,1,4.7,1,1,1,45.3,34.8,,0
94,Bihar,Patna,Paliganj,Akbarpur Ranipur,Agri-input & Farm Supply,1,105000,6298,1380,2843,5378,4,15,36,1,1,4.7,1,1,1,49.0,69.2,,1
95,Bihar,Patna,Paliganj,Akbarpur Ranipur,Food Processing,0,160000,6298,1380,2259,5378,4,10,31,1,1,4.7,1,1,1,39.0,58.1,,1
96,Bihar,Patna,Paliganj,Akbarpur Ranipur,Retail / Kirana,1,65000,6298,1380,5837,5378,14,21,33,1,1,4.7,1,1,1,76.0,83.7,,1
97,Bihar,Patna,Paliganj,Akbarpur Ranipur,Tailoring & Garment Services,0,60000,6298,1380,1595,5378,5,12,18,1,1,4.7,1,1,1,41.0,40.7,,0
98,Bihar,Patna,Paliganj,Akbarpur Ranipur,Repair & Maintenance,1,125000,6298,1380,1993,5378,4,12,29,1,1,4.7,1,1,1,41.7,48.0,,1
99,Bihar,Patna,Paliganj,Akbarpur Ranipur,Digital / CSC / Online Services,0,60000,6298,1380,1126,5378,4,16,31,1,1,4.7,1,1,1,49.0,33.4,,0
100,Bihar,Patna,Paliganj,Akbarpur Ranipur,Handicrafts / Artisan Products,0,70000,6298,1380,1206,5378,4,11,19,1,1,4.7,1,1,1,36.7,25.6,,0
101,Bihar,Patna,Masaurhi,Dahiya,Dairy & Livestock,0,115000,5957,1425,3471,11967,2,4,23,1,1,5.9,0,1,0,20.3,89.4,,0
102,Bihar,Patna,Masaurhi,Dahiya,Poultry & Egg Production,0,65000,5957,1425,3187,11967,3,6,29,1,1,5.9,0,1,0,28.7,84.7,,0
103,Bihar,Patna,Masaurhi,Dahiya,Fisheries / Aquaculture,0,115000,5957,1425,1637,11967,2,9,19,1,1,5.9,0,1,0,27.3,40.5,,0
104,Bihar,Patna,Masaurhi,Dahiya,Agri-input & Farm Supply,0,140000,5957,1425,2482,11967,9,23,34,1,1,5.9,0,1,0,76.7,73.4,,0
105,Bihar,Patna,Masaurhi,Dahiya,Food Processing,0,140000,5957,1425,2260,11967,7,12,31,1,1,5.9,0,1,0,51.3,66.4,,0
106,Bihar,Patna,Masaurhi,Dahiya,Retail / Kirana,0,80000,5957,1425,4613,11967,18,24,42,1,1,5.9,0,1,0,84.0,94.1,,0
107,Bihar,Patna,Masaurhi,Dahiya,Tailoring & Garment Services,1,55000,5957,1425,1948,11967,12,15,37,1,1,5.9,0,1,0,67.3,50.9,,0
108,Bihar,Patna,Masaurhi,Dahiya,Repair & Maintenance,1,70000,5957,1425,1228,11967,7,20,36,1,1,5.9,0,1,0,66.3,47.3,,0
109,Bihar,Patna,Masaurhi,Dahiya,Digital / CSC / Online Services,0,50000,5957,1425,1729,11967,3,17,31,1,1,5.9,0,1,0,47.7,45.0,,0
110,Bihar,Patna,Masaurhi,Dahiya,Handicrafts / Artisan Products,0,50000,5957,1425,1255,11967,0,3,18,1,1,5.9,0,1,0,11.0,30.6,,0
111,Bihar,Patna,Masaurhi,Lakhanpur,Dairy & Livestock,1,100000,4043,861,2303,4545,2,9,25,1,1,4.7,1,1,1,29.3,67.6,,1
112,Bihar,Patna,Masaurhi,Lakhanpur,Poultry & Egg Production,0,115000,4043,861,1794,4545,1,9,32,1,1,4.7,1,1,1,28.7,57.2,,1
113,Bihar,Patna,Masaurhi,Lakhanpur,Fisheries / Aquaculture,1,140000,4043,861,1324,4545,0,8,18,1,1,4.7,1,1,1,19.3,31.1,,0
114,Bihar,Patna,Masaurhi,Lakhanpur,Agri-input & Farm Supply,1,150000,4043,861,2079,4545,5,20,40,1,1,4.7,1,1,0,61.7,57.7,,0
115,Bihar,Patna,Masaurhi,Lakhanpur,Food Processing,1,170000,4043,861,1966,4545,5,20,30,1,1,4.7,1,1,0,58.3,52.9,,0
116,Bihar,Patna,Masaurhi,Lakhanpur,Retail / Kirana,1,90000,4043,861,3390,4545,7,19,38,1,1,4.7,1,1,1,65.3,81.7,,1
117,Bihar,Patna,Masaurhi,Lakhanpur,Tailoring & Garment Services,0,105000,4043,861,1115,4545,7,21,44,1,1,4.7,1,1,1,70.7,34.7,,0
118,Bihar,Patna,Masaurhi,Lakhanpur,Repair & Maintenance,0,90000,4043,861,1269,4545,5,20,27,1,1,4.7,1,1,1,57.3,39.0,,0
119,Bihar,Patna,Masaurhi,Lakhanpur,Digital / CSC / Online Services,1,45000,4043,861,1255,4545,1,14,22,1,1,4.7,1,1,0,33.7,33.3,,0
120,Bihar,Patna,Masaurhi,Lakhanpur,Handicrafts / Artisan Products,1,70000,4043,861,518,4545,5,20,26,1,1,4.7,1,1,1,57.0,20.0,,0
121,Bihar,Begusarai,Barauni,Amarpur,Dairy & Livestock,0,120000,4213,1003,2554,5844,4,19,42,1,1,5.7,1,1,1,57.7,73.4,,1
122,Bihar,Begusarai,Barauni,Amarpur,Poultry & Egg Production,1,75000,4213,1003,2202,5844,1,10,34,1,1,5.7,1,1,1,31.0,64.7,,1
123,Bihar,Begusarai,Barauni,Amarpur,Fisheries / Aquaculture,0,110000,4213,1003,1435,5844,2,9,26,1,1,5.7,1,1,1,29.7,33.2,,0
124,Bihar,Begusarai,Barauni,Amarpur,Agri-input & Farm Supply,0,140000,4213,1003,1616,5844,2,9,24,1,1,5.7,1,1,1,29.0,53.7,,1
125,Bihar,Begusarai,Barauni,Amarpur,Food Processing,1,130000,4213,1003,1488,5844,1,10,18,1,1,5.7,1,1,0,25.7,49.0,,1
126,Bihar,Begusarai,Barauni,Amarpur,Retail / Kirana,0,165000,4213,1003,3174,5844,16,21,32,1,1,5.7,1,1,1,75.7,83.9,,1
127,Bihar,Begusarai,Barauni,Amarpur,Tailoring & Garment Services,1,85000,4213,1003,1256,5844,5,16,24,1,1,5.7,1,1,1,49.7,37.5,,0
128,Bihar,Begusarai,Barauni,Amarpur,Repair & Maintenance,0,85000,4213,1003,993,5844,7,18,31,1,1,5.7,1,1,1,61.3,37.7,,0
129,Bihar,Begusarai,Barauni,Amarpur,Digital / CSC / Online Services,0,55000,4213,1003,815,5844,1,4,10,1,1,5.7,1,1,0,13.0,30.7,,0
130,Bihar,Begusarai,Barauni,Amarpur,Handicrafts / Artisan Products,1,45000,4213,1003,880,5844,0,11,34,1,1,5.7,1,1,1,29.7,23.4,,0
131,Bihar,Begusarai,Barauni,Barauni,Dairy & Livestock,0,80000,5509,1091,2994,10618,9,12,17,1,0,5.3,1,1,0,52.7,80.4,,1
132,Bihar,Begusarai,Barauni,Barauni,Poultry & Egg Production,0,75000,5509,1091,2800,10618,5,19,34,1,0,5.3,1,1,0,58.0,73.5,,1
133,Bihar,Begusarai,Barauni,Barauni,Fisheries / Aquaculture,0,150000,5509,1091,1895,10618,3,8,14,1,0,5.3,1,1,0,27.0,37.5,,0
134,Bihar,Begusarai,Barauni,Barauni,Agri-input & Farm Supply,1,160000,5509,1091,2567,10618,0,15,35,1,0,5.3,1,1,0,36.7,66.5,,1
135,Bihar,Begusarai,Barauni,Barauni,Food Processing,0,120000,5509,1091,1984,10618,8,12,27,1,0,5.3,1,1,0,53.0,55.6,,0
136,Bihar,Begusarai,Barauni,Barauni,Retail / Kirana,1,105000,5509,1091,3190,10618,11,19,25,1,0,5.3,1,1,0,70.0,84.7,,1
137,Bihar,Begusarai,Barauni,Barauni,Tailoring & Garment Services,1,35000,5509,1091,1528,10618,6,19,31,1,0,5.3,1,1,1,60.0,40.7,,0
138,Bihar,Begusarai,Barauni,Barauni,Repair & Maintenance,0,125000,5509,1091,1782,10618,6,10,19,1,0,5.3,1,1,1,41.0,46.5,,1
139,Bihar,Begusarai,Barauni,Barauni,Digital / CSC / Online Services,0,45000,5509,1091,1349,10618,5,15,37,1,0,5.3,1,1,1,52.3,36.0,,0
140,Bihar,Begusarai,Barauni,Barauni,Handicrafts / Artisan Products,0,70000,5509,1091,858,10618,2,12,17,1,0,5.3,1,1,0,31.7,23.7,,0
141,Bihar,Begusarai,Matihani,Balahpur,Dairy & Livestock,0,190000,3288,729,2299,16937,5,13,29,1,1,3.9,1,1,0,46.3,81.3,,1
142,Bihar,Begusarai,Matihani,Balahpur,Poultry & Egg Production,1,105000,3288,729,1590,16937,1,8,22,1,1,3.9,1,1,0,23.7,67.5,,1
143,Bihar,Begusarai,Matihani,Balahpur,Fisheries / Aquaculture,0,120000,3288,729,1271,16937,2,6,16,1,1,3.9,1,1,0,21.3,38.6,,0
144,Bihar,Begusarai,Matihani,Balahpur,Agri-input & Farm Supply,1,170000,3288,729,1541,16937,4,11,26,1,1,3.9,1,1,0,39.0,63.1,,1
145,Bihar,Begusarai,Matihani,Balahpur,Food Processing,1,140000,3288,729,1732,16937,2,5,11,1,1,3.9,1,1,0,18.0,61.7,,1
146,Bihar,Begusarai,Matihani,Balahpur,Retail / Kirana,1,60000,3288,729,2797,16937,4,10,16,1,1,3.9,1,1,0,34.0,93.1,,1
147,Bihar,Begusarai,Matihani,Balahpur,Tailoring & Garment Services,1,65000,3288,729,1031,16937,2,8,21,1,1,3.9,1,1,1,26.3,43.3,,0
148,Bihar,Begusarai,Matihani,Balahpur,Repair & Maintenance,0,130000,3288,729,977,16937,5,17,31,1,1,3.9,1,1,1,53.7,46.0,,1
149,Bihar,Begusarai,Matihani,Balahpur,Digital / CSC / Online Services,1,50000,3288,729,1051,16937,4,16,40,1,1,3.9,1,1,0,52.0,40.1,,0
150,Bihar,Begusarai,Matihani,Balahpur,Handicrafts / Artisan Products,0,35000,3288,729,823,16937,2,17,23,1,1,3.9,1,1,0,42.0,28.6,,0
151,Bihar,Begusarai,Matihani,Matihani,Dairy & Livestock,1,85000,3034,715,1839,4767,1,11,26,1,1,3.9,1,1,0,30.0,62.3,,1
152,Bihar,Begusarai,Matihani,Matihani,Poultry & Egg Production,1,60000,3034,715,1807,4767,2,15,30,1,1,3.9,1,1,0,41.0,58.6,,1
153,Bihar,Begusarai,Matihani,Matihani,Fisheries / Aquaculture,0,195000,3034,715,740,4767,3,15,39,1,1,3.9,1,1,0,47.0,27.0,,0
154,Bihar,Begusarai,Matihani,Matihani,Agri-input & Farm Supply,0,145000,3034,715,1639,4767,3,15,23,1,1,3.9,1,1,0,41.7,53.2,,1
155,Bihar,Begusarai,Matihani,Matihani,Food Processing,0,115000,3034,715,1268,4767,3,14,38,1,1,3.9,1,1,0,45.0,45.6,,0
156,Bihar,Begusarai,Matihani,Matihani,Retail / Kirana,0,85000,3034,715,1979,4767,6,10,29,1,1,3.9,1,1,0,44.3,67.7,,1
157,Bihar,Begusarai,Matihani,Matihani,Tailoring & Garment Services,1,95000,3034,715,1078,4767,3,5,25,1,1,3.9,1,1,1,25.7,35.2,,0
158,Bihar,Begusarai,Matihani,Matihani,Repair & Maintenance,0,95000,3034,715,839,4767,2,4,10,1,1,3.9,1,1,1,16.0,35.4,,0
159,Bihar,Begusarai,Matihani,Matihani,Digital / CSC / Online Services,1,45000,3034,715,581,4767,2,5,27,1,1,3.9,1,1,0,23.3,28.0,,0
160,Bihar,Begusarai,Matihani,Matihani,Handicrafts / Artisan Products,0,65000,3034,715,764,4767,1,11,18,1,1,3.9,1,1,0,27.3,22.3,,0
